Name,Location,Latitude,Longitude
Nula Tula Elementary School,"Brgy. 3, Upper Nula Tula",11.2506957,124.9721709
Sto. Niño SPED Center,Brgy. 6,11.244862991470043,125.00572901311907
New Life Baptist Church,Brgy. 7,11.243880336201524,125.00321987439999
Sacred Heart School,"Brgy. 8, T. Claudio St.",11.245874996143101,125.00397758124015
Panalaron Elementary School,"Brgy. 8, T. Claudio St.",11.246846303811616,125.00435031315072
Cirilo Roy Montejo National High School,"Brgy. 8, T. Claudio St.",11.2460417,125.0051114
Brgy. 14 Brgy. Hall,"Brgy. 14, J. Romualdez St.",11.245642842451838,125.002287364456
Brgy. 18 Brgy Hall,"Brgy. 18, Sto. Niño St.",11.242714888033417,125.00325728362478
Kapangian Central School,"Brgy. 22, Salazar St.",11.2437178,124.9990155
Rizal Elementary School,Brgy. 25,11.242383998627643,125.00579090838187
RTR Elementary School,"Brgy. 25, Paterno Ext.",11.244606820969402,125.00717845053076
Legislative Building,"Brgy. 25, Paterno Ext.",11.242562785692469,125.00727367401164
MASA Building,"Brgy. 36, Sabang",11.2458756632512,124.99886816132795
Tacloban City Fish Port,"Brgy. 37, Reclamation",11.2471111,124.9972071
Holy Spirit College,Brgy. 38,11.244896346987295,124.9975268705841
Brgy. 39 Calvary Hill,Brgy. 39,11.243394010664305,124.99477491198903
Eastern Visayas State University,Brgy. 43-B,11.2391469,124.9975539
City Central Elementary School,"Brgy. 44, Sta. Cruz",11.239823595586946,124.99848862774029
Liceo Del Verbo Divino (LVD),Brgy. 44-A,11.240794256529146,125.00063727756783
Leyte National High School,Brgy. 48,11.237083,124.9996043
Church of Nazarene,Brgy. 49,11.234656021919541,125.00014347580313
Leyte Normal University,Brgy. 50,11.235740488590913,125.00038471241253
Leyte Normal University Gym,Brgy. 50,11.236884594517678,125.00177090673729
Leyte Normal University,"Brgy. 50-A, Youngfield",11.235740488590913,125.00038471241253
People Center,"Brgy. 50-A, Youngfield",11.236421631270762,125.0026471117607
Redemptorist Church,"Brgy. 53, Real St.",11.232885525405399,125.00176276861028
San Fernando Elementary School,"Brgy. 54, Magallanes",,
San Fernando Central School,"Brgy. 54-A, Magallanes",11.2340654,125.0034064
Brgy 56 Pericohon Brgy Hall,"Brgy. 56, Pericohon",,
Multipurpose Convention Center,"Brgy. 59, Picas",,
Brgy. 59 Brgy Hall,"Brgy. 59, Picas",,
Church of Later Day Saint,"Brgy. 61, Old Road Sagkahan",,
Tacloban City Convention Center,"Brgy. 61, Sagkahan",11.2216763,125.0050245
Moergeli Elementary School,"Brgy. 62, Sagkahan",,
Sagkahan Elementary School,"Brgy. 62, Sagkahan",11.2208721,125.0004919
St. Raphael Church,"Brgy. 62, Sagkahan",11.21982630297064,125.00045253013901
Sagkahan National High School,"Brgy. 64, Bliss",11.21591,125.0025277
Leyte Progressive High School,"Brgy. 65, Paseo de Legaspi",11.2457265,124.995031
Paseo de Legaspi Brgy. Hall,"Brgy. 66-A, Paseo de Legaspi",,
Chinese/Buddhist Temple,"Brgy. 67, Anibong",11.248280506435693,124.99381927833336
Iglesia Ni Cristo,"Brgy. 67, Anibong",11.2496356,124.9929789
Brgy 67 Brgy. Hall,"Brgy. 67, Anibong",11.252310291019421,124.99091600147209
Anibong Elementary School,"Brgy. 68, Anibong",11.2530296,124.9899299
Brgy. 68 Anibong Brgy. Hall,"Brgy. 68, Anibong",11.252739306606994,124.9905131641781
Brgy. 69 Anibong Brgy. Hall,"Brgy. 69, Anibong",11.256482689914751,124.98869225822794
Brgy. 71 Naga-Naga Brgy. Hall,"Brgy. 71, Naga Naga",11.243512337437188,124.9816568473054
Bayanihan Elementary School,"Brgy. 73, Mountainside",11.2463726,124.9813416
Bliss Elementary School,"Brgy. 74, Lower Nula Tula",11.2483701,124.9734019
Fatima Church,"Brgy. 77, Bañezville",11.209299735438117,125.00994090822073
Grace Baptist Church,"Brgy. 78, Marasbaras",11.2113011,125.0051231
Marasbaras Elementary School,"Brgy. 81, Marasbaras",11.20003,125.0070903
Marasbaras National High School,"Brgy. 81, Marasbaras",11.1957071,125.0076432
Brgy. 83-A Brgy. Hall,"Brgy. 83-A, San Jose",11.210174857455703,125.01537310809441
Brgy. 83-C SK Hall/Health Center,"Brgy. 83-C, Taguictic, San Jose",,
Fustanes Elementary School,"Brgy. 84, Manlurip",,
Brgy. 86 San Jose Gym,"Brgy. 86, San Jose",11.207521543202123,125.02301786128751
San Jose Elementary School,"Brgy. 87, San Jose",11.2049523,125.0223093
San Jose National High School,"Brgy. 87, San Jose",11.200144,125.0205706
Fisherman's Village Elementary School,"Brgy. 88, San Jose",11.2175002,125.0219384
Brgy. 88 Brgy Hall,"Brgy. 88, San Jose",11.217690619554757,125.02170151922081
Abucay Evacuation Center,"Brgy. 91, Abucay",,
Tacloban City Evacuation Center,"Brgy. 91, Abucay",11.235252911837147,124.97975150828637
Judge Antonio Quintero Memorial School,"Brgy. 91, Abucay",,
St. Therese (STEFTI),"Brgy. 91, Abucay",11.236985036158533,124.9848703902647
Our Lady of Guadalupe Church,"Brgy. 91, Abucay",11.237769277965583,124.98534647070312
Tacloban New Bus Terminal,"Brgy. 91, Abucay",11.2390526,124.9878527
Don Vicente Quintero Memorial School,"Brgy. 92, Apitong",11.221018367333123,124.99160469048282
"Brgy, 93 Bagacay Brgy Hall","Brgy. 93, Bagacay",11.281752246107486,124.95807865841616
Bagacay Elementary School,"Brgy. 93, Bagacay",11.2830838,124.9584438
Tacloban City National High School,"Brgy. 93, Bagacay",11.2871692,124.9590329
Basper Elementary School,"Brgy. 94-A, Basper",11.2525868,124.9615833
Brgy. 94-A Basper Brgy Hall,"Brgy. 94-A, Basper",,
Tacloban National Agricultural School,"Brgy. 94-A, Tigbao",11.2494445,124.9632986
Brgy 94 Tigbao Brgy Hall,"Brgy. 94, Tigbao",11.255633024992331,124.96621055481424
Brgy 94 Tigbao Covered Court,"Brgy. 94, Tigbao",11.255631029592525,124.96633059218972
Brgy 94 Tigbao Day Care Center,"Brgy. 94, Tigbao",11.255780684539479,124.96632652312614
Blessed Sacrament Church,"Brgy. 94, Tigbao",11.255784675336997,124.97042407014683
Elizabent Convent,"Brgy. 94, TIgbao",11.255231949353666,124.9700598889568
Tigbao-Diit Elementary School,"Brgy. 94, Tigbao",11.2583185,124.968971
Caibaan Elementary School,"Brgy. 95, Caibaan",11.2092508,124.9946319
Chinese Cemetery,"Brgy. 95, Caibaan",11.2145829,124.998386
Brgy. 95 Caibaan Brgy Hall,"Brgy. 95, Caibaan",,
Brgy. 96 Calanipawan Brgy Hall,"Brgy. 96, Calanipawan",11.208792198381028,124.99883427203208
UNDP Community Evacuation Center,"Brgy. 97, Cabalawan",11.307276316192773,124.9553359824085
Brgy 97 Cabalawan Covered Court,"Brgy. 97, Cabalawan",11.298697012517367,124.96322157330165
Cabalawan Elementary School,"Brgy. 97, Cabalawan",11.2985152,124.9643373
Camansihay Covered Court,"Brgy. 98, Camansihay",,
Camansihay Elementary School,"Brgy. 98, Camansihay",11.3028056,124.9416433
Mercyville Elementary School,"Brgy. 99, Diit",11.2644756,124.9629372
Brgy 99 Diit Brgy Hall,"Brgy. 99, Diit",11.262449728831772,124.96526831228034
Scandinavian Elementary School,"Brgy. 100, San Roque",11.2715586,124.9511174
Scandinavian National High School,"Brgy. 100, San Roque",11.2708275,124.9515945
Teacher Academy Building,"Brgy. 100, San Roque",,
San Roque Chapel,"Brgy. 100, San Roque",,
San Roque Elementary School,"Brgy. 100, San Roque",11.2765582,124.942934
San Roque Gym,"Brgy. 100, San Roque",11.274808178087813,124.94363615304624
Lucio Vivero Elementary School,"Brgy. 101, New Kawayan",11.3322753,124.9487305
Brgy 101 New Kawayan Brgy Hall,"Brgy. 101, New Kawayan",11.332045425144502,124.94664980325692
Northern Tacloban City National High School,"Brgy. 101, New Kawayan",11.3310279,124.9498465
Brgy 102 Brgy Hall,"Brgy. 102, New Kawayan",11.335782038620648,124.96912285991054
Brgy 103-A Brgy Hall,"Brgy. 103-A, Paglaum",11.258964076256683,124.92111655647804
Brgy 103-A Health Center,"Brgy. 103-A, Paglaum",11.258874284290869,124.92108451260239
Lorenzo Daa Elementary School,"Brgy. 103-A, Paglaum",11.253787523689915,124.92156517073725
Palanog Resettlement Elementary School,"Brgy. 103, Palanog",11.2523407,124.9544325
Brgy 103 Palanog Brgy Hall,"Brgy. 103, Palanog",11.251567369201284,124.95401417253773
Salvacion Elementary School,"Brgy. 104, Salvacion",11.2350998,124.9609112
Brgy 104 Salvacion Brgy Hall,"Brgy. 104, Salvacion",,
San Isidro Covered Court,"Brgy. 105, Suhi",11.315841647513047,124.95310321092967
Bulante Elementary School,"Brgy. 105, Suhi",11.316003240960317,124.9527461506009
Brgy 106 Sto. Niño Brgy Hall,"Brgy. 106, Sto. Niño",11.331892817670155,124.94374182154091
Brgy 107 Brgy Hall,"Brgy. 107, Sta. Elena",11.341237630980014,124.9366051926622
Brgy 107 Day Care Center,"Brgy. 107, Sta. Elena",11.341363303620126,124.93646328406996
Sta. Elena Elementary School,"Brgy. 107, Sta. Elena",11.340791043829443,124.93470315975706
Sta. Elena Covered Court,"Brgy. 107, Sta. Elena",11.340938036159596,124.93636829686714
Leyte Chirstian College,"Brgy. 108, Tagpuro",11.344160627627097,124.96388025296797
Brgy 108 Tagpuro Brgy Hall,"Brgy. 108, Tagpuro",11.344139308374052,124.95449940836903
Tagpuro Old Chapel,"Brgy. 108, Tagpuro",,
Tagpuro Elementary School,"Brgy. 108, Tagpuro",11.34416623795658,124.95456750160483
Brgy. 109-A V&G Brgy Hall,"Brgy. 109-A, V&G",11.20479985012885,124.99951933703261
V&G Dela Cruz Memorial School,"Brgy. 109-A, V&G",11.204950279846527,124.99623483977763
Brgy. 109 V&G Brgy Hall,"Brgy. 109, V&G",,
Our Lady of Lourdes Church,"Brgy. 109, V&G",11.207155076581818,124.99923323099992
Holy Infant College,"Brgy. 110, Utap",11.2303305,124.9973351
Brgy. 110 Utap Brgy Hall,"Brgy. 110, Utap",11.228192975827385,124.99309453996315
TBC Paterno,Paterno St.,11.239243966071516,125.00177385256997
